citizenship;gender;reporting_country;year;immigrant_count;obs_flag
Andorra;Females;Lithuania;2024;0;
Andorra;Females;Luxembourg;1998;0;
Andorra;Females;Luxembourg;2000;0;
Andorra;Females;Luxembourg;2001;0;
Andorra;Females;Luxembourg;2008;0;
Andorra;Females;Luxembourg;2009;0;
Andorra;Females;Luxembourg;2010;0;
Andorra;Females;Luxembourg;2011;0;
Andorra;Females;Luxembourg;2012;0;
Andorra;Females;Luxembourg;2018;0;
Andorra;Females;Luxembourg;2020;0;
Andorra;Females;Luxembourg;2023;0;
Andorra;Females;Luxembourg;2024;0;
Andorra;Females;Latvia;2020;0;
Andorra;Females;Latvia;2021;0;
Andorra;Females;Netherlands;2020;0;
Andorra;Females;Netherlands;2023;0;
Andorra;Females;Romania;2008;0;
Andorra;Females;Romania;2009;0;
Andorra;Females;Romania;2010;0;
Andorra;Females;Romania;2011;0;
Andorra;Females;Romania;2012;0;
Andorra;Females;Romania;2015;0;
Andorra;Females;Romania;2016;0;
Andorra;Females;Romania;2018;0;
Andorra;Females;Romania;2019;0;e
Andorra;Females;Romania;2023;0;
Andorra;Females;Romania;2024;0;
Andorra;Females;Sweden;2014;0;
Andorra;Females;Sweden;2015;0;
Andorra;Females;Sweden;2016;0;
Andorra;Females;Sweden;2018;0;
Andorra;Females;Sweden;2019;0;
Andorra;Females;Sweden;2020;0;
Andorra;Females;Sweden;2023;0;
Andorra;Females;Sweden;2024;0;
Andorra;Females;Slovenia;1998;0;
Andorra;Females;Slovenia;2000;0;
Andorra;Females;Slovenia;2001;0;
Andorra;Females;Slovenia;2008;0;b
Andorra;Females;Slovenia;2009;0;
Andorra;Females;Slovenia;2011;0;
Andorra;Females;Slovenia;2015;0;
Andorra;Females;Slovenia;2016;0;
Andorra;Females;Slovenia;2018;0;
Andorra;Females;Slovenia;2019;0;
Andorra;Females;Slovenia;2020;0;
Andorra;Females;Slovenia;2023;0;
Andorra;Females;Slovenia;2024;0;
Andorra;Females;Slovakia;2008;0;
Andorra;Females;Slovakia;2009;0;
Andorra;Females;Slovakia;2010;0;
Andorra;Females;Slovakia;2011;0;
Andorra;Females;Slovakia;2012;0;p
Andorra;Females;Slovakia;2020;0;
Andorra;Females;Slovakia;2023;0;
Andorra;Females;Slovakia;2024;0;
Andorra;Males;Austria;1998;0;
Andorra;Males;Austria;2001;0;
Andorra;Males;Austria;2007;0;
Andorra;Males;Austria;2008;0;
Andorra;Males;Austria;2009;0;
Andorra;Males;Austria;2011;0;
Andorra;Males;Austria;2012;0;
Andorra;Males;Austria;2015;0;
Andorra;Males;Austria;2016;0;
