year;country_code;country;sector_nace_r2;employment_thousand_persons;employment_persons;data_flag;sex;age;source_id;dataset_id;source;unit
2013;PT;Portugal;"Water supply; sewerage, waste management and remediation activities";27.2;27200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;"Wholesale and retail trade; repair of motor vehicles and motorcycles";641.6;641600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Accommodation and food service activities;280.3;280300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";115.8;115800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Administrative and support service activities;163.9;163900.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Agriculture, forestry and fishing;388.7;388700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Arts, entertainment and recreation;58.1;58100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Construction;274.7;274700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Education;357.3;357300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Electricity, gas, steam and air conditioning supply;15.1;15100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Financial and insurance activities;101.3;101300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Human health and social work activities;378.2;378200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Information and communication;107.4;107400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Manufacturing;736.7;736700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Mining and quarrying;12.2;12200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Other service activities;107.6;107600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Professional, scientific and technical activities;181.3;181300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;"Public administration and defence; compulsory social security";314.6;314600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Real estate activities;30.0;30000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;Transportation and storage;174.9;174900.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;"Water supply; sewerage, waste management and remediation activities";31.5;31500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2014;PT;Portugal;"Wholesale and retail trade; repair of motor vehicles and motorcycles";668.3;668300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Accommodation and food service activities;260.2;260200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
