year;district;employees_count;self_employed_count;employee_contribution_amount;self_employed_contribution_amount;remuneration_amount;employers_count;total_workers;total_contribution_amount;source_id;source
2018;Évora;56946;6537;204129819.35;7840470.96;605551869.81;6995;63483;211970290.31;F014;Segurança Social
2019;Aveiro;298046;35102;1229366811.62;36187124.1;3621060539.77;27784;333148;1265553935.72;F014;Segurança Social
2019;Beja;63667;8299;207353137.76;9167192.58;614223248.13;6510;71966;216520330.34;F014;Segurança Social
2019;Braga;357571;40168;1362684167.91;40975418.33;4018421536.06;37963;397739;1403659586.24;F014;Segurança Social
2019;Bragança;33609;9404;113464458.15;7595064.89;337741668.5;4951;43013;121059523.04;F014;Segurança Social
2019;Castelo Branco;59861;8820;216361458.46;9022105.04;640003324.17;6802;68681;225383563.5;F014;Segurança Social
2019;Coimbra;149479;22068;624414480.5;22013882.97;1850498829.81;14821;171547;646428363.47;F014;Segurança Social
2019;Faro;214894;32832;753461843.74;37567562.05;2213997450.38;26127;247726;791029405.79;F014;Segurança Social
2019;Guarda;43943;8285;155310477.23;7755205.43;460256305.31;5697;52228;163065682.66;F014;Segurança Social
2019;Leiria;188434;23385;754698288.49;26199126.37;2226494448.8;22007;211819;780897414.86;F014;Segurança Social
2019;Lisboa;1005773;133597;5174780645.29;122918299.33;15283385318.39;114782;1139370;5297698944.62;F014;Segurança Social
2019;Outro;16943;2479;79717953.23;3964849.36;234586549.53;942;19422;83682802.59;F014;Segurança Social
2019;Portalegre;36680;5475;127756619.01;6020052.82;378401154.04;4405;42155;133776671.83;F014;Segurança Social
2019;Porto;742528;82944;3151686453.59;82607148.48;9304987894.46;79007;825472;3234293602.07;F014;Segurança Social
2019;Região Autónoma da Madeira;88014;11922;348760493.15;9161993.05;1027981311.14;9835;99936;357922486.2;F014;Segurança Social
2019;Região Autónoma dos Açores;85854;17621;333123269.31;14770380.98;987509215.42;8573;103475;347893650.29;F014;Segurança Social
2019;Santarém;162760;19291;626782558.34;20222258.78;1849324356.48;16594;182051;647004817.12;F014;Segurança Social
